Time,VC0,D_CaL_sCaLm,D_CaL_sCaLh,D_CaL_vCaLm,D_CaL_vCaLh,D_CaL_tCaLh1,D_CaL_tCaLh2,D_CaL_gCaL,D_CaL_mCaL_inf,D_CaL_hCaL_inf,D_CaL_tauCaLm,D_CaL_tauCaLh,D_CaL_iCaL,D_CaL_mCaL,D_CaL_hCaL
1.4499999999999968,-61.51676715302461,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041024247434410493 ,0.9966764907122123 ,0.1927197603874603 ,53.76313450532823 ,-0.1030268583239581 ,0.04143141866601079 ,0.6760177635234759  
1.4749999999999968,-61.516509972853896,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04102526176023024 ,0.9966763199010208 ,0.1927215236864946 ,53.763169974326004 ,-0.10276940512546934 ,0.04138200585440042 ,0.6761668358412889  
1.4999999999999967,-61.51625334970818,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04102627357527881 ,0.996676149507951 ,0.19272328259901905 ,53.76320535514041 ,-0.10254681703308188 ,0.04133872804329652 ,0.6763158386789905  
1.5249999999999966,-61.51599720712737,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04102728322265265 ,0.9966759794752563 ,0.1927250377216153 ,53.763240659771405 ,-0.1023547825165253 ,0.041300838495596986 ,0.6764647720693513  
1.5499999999999965,-61.515741478087385,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04102829100302939 ,0.9966758097523283 ,0.19272678957709766 ,53.76327589873521 ,-0.10218953093502937 ,0.041267681375542146 ,0.6766136360450741  
1.5749999999999964,-61.515486103820756,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04102929717998841 ,0.9966756402948012 ,0.19272853862376654 ,53.763311081250365 ,-0.10204776292983148 ,0.04123868068235269 ,0.6767624306387997  
1.5999999999999963,-61.51523103278806,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04103030198464692 ,0.9966754710637707 ,0.1927302852634714 ,53.76334621539995 ,-0.10192659016189518 ,0.04121333053120661 ,0.6769111558831131  
1.6249999999999962,-61.51497621978011,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041031305619703196 ,0.996675302025116 ,0.19273202984864257 ,53.76338130827299 ,-0.10182348305665753 ,0.041191186617497474 ,0.6770598118105485  
1.6499999999999961,-61.514721625133724,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04103230826296603 ,0.9966751331489043 ,0.1927337726884289 ,53.76341636608797 ,-0.10173622542651502 ,0.04117185872029567 ,0.6772083984535937  
1.674999999999996,-61.51446721404619,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.0410333100704376 ,0.9966749644088724 ,0.19273551405405975 ,53.763451394300596 ,-0.10166287501469255 ,0.04115500411848021 ,0.6773569158446938  
